,account,twitter_link,text,date,likes,comments
164,CornelWest,https://twitter.com/CornelWest/status/1746219479002939560#m,"Today marks a significant moment in our ongoing pursuit of truth and justice. At 1pm EST, our MARCH ON WASHINGTON D.C. FOR GAZA begins.  Tune into the livestream on YouTube: https://inv.tux.pizza/live/tMzcubhHm2Y?feature=share #truthjusticelove #March4Gaza #marchforgaza #CornelWest2024 #livestream #washingtondc","Jan 13, 2024 · 5:15 PM UTC",1412,121
165,CornelWest,https://twitter.com/CornelWest/status/1746211687085011068#m,"Portland, let's get fired up for @portugaltheman, Mic Crenshaw and other talented folks for a special evening in concert. This fundraiser will be a rallying cry for truth, justice and love, taking place Sunday, Jan. 21st, 5-8PM at The OLD CHURCH - 1422 SW 11th Ave. -- you don't want to miss this evening of music, community and love. Tickets will go quickly, so get yours TODAY: https://www.cornelwest2024.com/toc #CornelWest2024 #truthjusticelove #Portland #Oregon","Jan 13, 2024 · 4:44 PM UTC",243,20
166,CornelWest,https://twitter.com/CornelWest/status/1745914426702663756#m,"I can’t think of a better place to commemorate MLK Day than Birmingham, and we know the best way to honor Martin and his dear wife Coretta is to continue the struggle through collective resistance and collective acts of selfless service that put and keep us on a path to truth, justice and love. The city, like Brother Martin, is a staple of the 1960s Civil Rights Movement. This Monday, I will be celebrating the work of Brother Martin and Coretta, who made this day possible at the People Over Party Rally - 3PM at Kelly Ingram Park in Birmingham, AL.  To register visit: cornelwest2024.com/mlk_rally #MLKDaySelflessService #TruthJusticeLove #CornelWest2024 #MLKDay #Birmingham","Jan 12, 2024 · 9:03 PM UTC",367,32
167,CornelWest,https://twitter.com/CornelWest/status/1745863295414710324#m,"By ordering  air strikes against the sovereign nation of Yemen, @POTUS has likely violated Article I of the Constitution and misused any Authorization to Use Military Force. The House of Representatives is the only governmental body with the power to declare and authorize war. This same president who claims to decry fascism is acting unilaterally and will dare to invoke the words of Brother Martin on Monday while he brings the world closer to World War 3. We must call it out and put an end to it before more precious lives are senselessly and needlessly lost. Make no mistake, these strikes were conducted by a previous and current empire because the Houthis successfully disrupted the flow of global capital via protest to show solidarity with Gaza. I call on the US House of Representatives to conduct an immediate investigation #TruthJusticeLove #CornelWest2024","Jan 12, 2024 · 5:40 PM UTC",4783,469
168,CornelWest,https://twitter.com/CornelWest/status/1745576043396595975#m,"My siblings of all colors, I humbly call on you to honor Brother Martin’s legacy by joining us for our Love Warriors MLK Day of Selfless Service. For more info on how you can be in solidarity, visit: cornelwest2024.com/mlk_day_o… #MLKDayofService #MLKDay2024 #truthjusticelove #LoveWarriors #CornelWest2024","Jan 11, 2024 · 10:38 PM UTC",378,29
169,CornelWest,https://twitter.com/CornelWest/status/1745551961070485849#m,"Today, on Rabbi Abraham Joshua Heschel's birthday, we commemorate his prophetic voice, undying courage, and unshakable tenderness. Amid the ongoing conflicts between Israel and Palestine, and throughout the world, we recognize that justice in these troubled regions requires anchoring our efforts in love. This potent force can resist the lure of indifference and kindle a fire of prophetic witness. By embodying Rabbi Heschel's fearless spirit and relentless pursuit of a world shaped by truth, love, and justice, we truly honor his legacy. #HeschelLegacy #PropheticWitness #TruthJusticeLove #CornelWest2024  ""Remembering the prophetic legacy of Abraham Joshua Heschel""  FULL ARTICLE via @JewishCurrents: https://jewishcurrents.org/the-radical-heschel","Jan 11, 2024 · 9:03 PM UTC",154,19
170,CornelWest,https://twitter.com/CornelWest/status/1745546467400364034#m,"As the warranted #ICJ process to hold the State of Israel to account for its brutal and genocidal crimes against the people of Gaza commences, I am reminded of the sage words of Brother Martin whose birthday we will celebrate next week. “I knew that I could never again raise my voice against the violence of the oppressed in the ghettos without having first spoken clearly to the greatest purveyor of violence in the world today -- my own government.” So we must be honest, the derelict #duopoly who is complicit with these crimes against humanity are also on trial, and it’s our duty to hold them to account with our voices, with our participation in the streets, and, later this year, with our votes.  #TruthJusticeLove #CornelWest2024","Jan 11, 2024 · 8:41 PM UTC",1502,93
171,CornelWest,https://twitter.com/CornelWest/status/1745498940542181492#m,"I agree with my dear and brilliant sister @NinaTurner. Too many members of the Derelict #Duopoly will hand pick Brother Martin quotes, deodorize and sanitize them to serve themselves instead of in service to the people - especially poor and working class folk. Shame on these lawmakers adulterating the true legacy of the Radical MLK while being complicit in what he referred to as the Three Main Evils, Poverty, Racism, and Militarism. We will take back Brother Martin's legacy with the same fervor as we take the streets for #TruthJusticeLove. #CornelWest2024","Jan 11, 2024 · 5:32 PM UTC",688,41
172,CornelWest,https://twitter.com/CornelWest/status/1745233316620673038#m,"We will be on the ground in #SaltLakeCity on Wednesday, Jan. 17th from 6-8PM! Join us for a special evening of community, conversation and action, as we build momentum to get on the ballot in #Utah. 209 E 500 S, Salt Lake City, UT 84111 -- RSVP: https://www.cornelwest2024.com/utahmeetup #CornelWest2024 #TruthJusticeLove #OnTheMove","Jan 10, 2024 · 11:57 PM UTC",277,28
173,CornelWest,https://twitter.com/CornelWest/status/1745163499565908467#m,"In our fight for justice, let's never forget the balance between workers' control and civil liberties. My suspicion of government power, shaped by the shadows of surveillance and COINTELPRO, doesn't halt my commitment to personal freedom and individual rights. From a woman's autonomy over her body to the rights of our gay, lesbian, and trans siblings, these liberties are sacred. Our struggle connects the defense of individual freedoms with the dismantling of oppressive structures. #PersonalLiberty #WorkerJustice #CornelWest2024 #TruthJusticeLove","Jan 10, 2024 · 7:19 PM UTC",698,59
174,CornelWest,https://twitter.com/CornelWest/status/1745152785774162190#m,"I deeply enjoyed this rich conversation with my two fellow philosophers, brothers Frank and Agon! #CornelWest2024 #truthjusticelove","Jan 10, 2024 · 6:37 PM UTC",315,24
175,CornelWest,https://twitter.com/CornelWest/status/1745152375055397303#m,I once again was blessed to have a rich dialogue with brother Nick and sister Jen! I appreciate their questions and insights! @The_Red_Nation   WATCH: https://inv.tux.pizza/watch?v=bOAnpRK6Clo #CornelWest2024 #truthjusticelove,"Jan 10, 2024 · 6:35 PM UTC",127,3
176,CornelWest,https://twitter.com/CornelWest/status/1744902672342466978#m,"How repugnant and insulting to the people of the United States, especially poor and working class folk, that the derelict #duopoly is on the verge of continuing the trend below with a bellicose budget that expands military spending to nearly $900 Billion - more than the next 10 nations COMBINED. When we just learned that 2023 was the hottest year on record, we don't need to reward the biggest emitter and consumer of #fossilfuels, we need to contain them and we need a budget that prioritizes true national security - food, housing, education, healthcare, and addressing the #climatecrisis. Our policy pillars call for slashing the military budget and investing in YOU, the people. That’s why as President I will veto ANY spending bill that prioritizes war and greed over people and peace. #TruthJusticeLove #CornelWest2024   Credit: National Priorities Project","Jan 10, 2024 · 2:03 AM UTC",1916,121
177,CornelWest,https://twitter.com/CornelWest/status/1744527051422618069#m,"Calling on Love Warriors all across the nation to join this #movement to help us get on the ballot in your state, break the US corporate #duopoly, and fight for the integrity and soul of this nation here and around the world. Learn how to join the Love Warriors at: https://www.cornelwest2024.com/volunteer #LoveWarriors #TruthJusticeLove #Volunteer #CornelWest2024","Jan 9, 2024 · 1:10 AM UTC",965,90
178,CornelWest,https://twitter.com/CornelWest/status/1744482027607580858#m,"I understand Brother Clyburn’s concerns regarding @POTUS standing with Black folk. The Democrats would not have these issues if they treated Black voters with the dignity we deserve and address the interests of poor and working class Black folk as opposed to their corporate masters. The Democrats have failed to demonstrate that our lives are as important to them as our votes, and nothing proves this more than the New Jim and Jane Crow of #MassIncarceration, the fact that Black folk make up 13% of the total US population but 37% of the unhoused, and the unacceptable situation with Black maternity and infant mortality rates due to #MedicalApartheid. Our campaign offers a new choice for people on the chocolate side of town as much as for folk on the vanilla side of town and all in between. My Policy Pillars will institute real and lasting #RacialJustice and together we will break the derelict #duopoly that takes Black and all poor and working class folk for granted. #TruthJusticeLove #CornelWest2024 https://www.politico.com/news/2024/01/07/clyburn-concerned-biden-standing-black-voters-00134192","Jan 8, 2024 · 10:11 PM UTC",1445,97
179,CornelWest,https://twitter.com/CornelWest/status/1744096007452086521#m,"WE ARE LIVE in Leimert Park, Los Angeles at our ""Town Hall to Liberate All People Everywhere"": https://inv.tux.pizza/watch?v=umkAQEi20hM #CornelWest2024 #truthjusticelive #Livestream #share #LeimertPark #LosAngeles #townhall","Jan 7, 2024 · 8:37 PM UTC",149,17
